9	"changes to database using"	local:changestodatabase_	"using"
9	"want"	local:AM-ADV	"a user,"
9	"want"	vn.role:Agent	"I"
9	"want"	vn.role:Theme	"make changes to the database using SQL commands."
9	"make"	vn.role:Agent	"I"
9	"make"	vn.role:Material	"changes"
9	"make"	vn.role:Product	"the database using SQL commands."
9	"using"	vn.role:Agent	"database"
9	"using"	vn.role:Theme	"SQL commands."
10	"data corruption"	rdfs:subClassOf	"corruption"
10	"automatically detect"	rdfs:subClassOf	"detect"
10	"database software"	rdfs:subClassOf	"software"
10	"want as admin"	local:as_admin	"want"
10	"want as admin"	local:want_as	"admin"
10	"want"	local:AM-MNR	"an admin,"
10	"want"	vn.role:Agent	"I"
10	"want"	vn.role:Theme	"database software to automatically detect data corruption"
10	"detect"	local:AM-MNR	"automatically"
10	"detect"	vn.role:Experiencer	"database software"
10	"detect"	vn.role:Stimulus	"data corruption"
10	"generate"	local:AM-MNR	"an admin,"
10	"generate"	vn.role:Theme1	"the database software"
10	"generate"	vn.role:Theme2	"alert."
11	"database tables"	rdfs:subClassOf	"tables"
11	"want as user"	local:as_user	"want"
11	"want as user"	local:want_as	"user"
11	"reports based_on database tables"	local:based_on_databasetables	"reports"
11	"reports based_on database tables"	local:reports_based_on	"database tables"
11	"want"	local:AM-ADV	"a user,"
11	"want"	vn.role:Agent	"I"
11	"want"	vn.role:Theme	"generate reports based on database tables, that include graphs and charts."
11	"generate"	vn.role:Theme1	"I"
11	"generate"	vn.role:Theme2	"reports based on database tables, that include graphs and charts."
11	"include"	vn.role:Theme	"graphs and charts."
11	"include"	vn.role:Location	"database tables,"
12	"64 TB"	rdfs:subClassOf	"TB"
12	"want as user"	local:as_user	"want"
12	"want as user"	local:want_as	"user"
12	"limited to 64 TB"	local:to_64TB	"limited"
12	"limited to 64 TB"	local:limited_to	"64 TB"
12	"want"	local:AM-MNR	"a user,"
12	"want"	vn.role:Agent	"I"
12	"want"	vn.role:Theme	"database"
12	"limited"	vn.role:Patient	"database"
12	"limited"	vn.role:Proposition	"64 TB."
13	"8 TB"	rdfs:subClassOf	"TB"
13	"want as user"	local:as_user	"want"
13	"want as user"	local:want_as	"user"
13	"limited to 8 TB"	local:to_8TB	"limited"
13	"limited to 8 TB"	local:limited_to	"8 TB"
13	"want"	local:AM-MNR	"a user,"
13	"want"	vn.role:Agent	"I"
13	"want"	vn.role:Theme	"table"
13	"limited"	local:AM-ADV	"a user, I want"
13	"limited"	vn.role:Patient	"table"
13	"limited"	vn.role:Proposition	"8 TB."
14	"8 TB"	rdfs:subClassOf	"TB"
14	"want as user"	local:as_user	"want"
14	"want as user"	local:want_as	"user"
14	"limited to 8 TB"	local:to_8TB	"limited"
14	"limited to 8 TB"	local:limited_to	"8 TB"
14	"want"	local:AM-MNR	"a user,"
14	"want"	vn.role:Agent	"I"
14	"want"	vn.role:Theme	"row"
14	"limited"	local:AM-ADV	"a user, I want"
14	"limited"	vn.role:Patient	"row"
14	"limited"	vn.role:Proposition	"8 TB."
15	"multiple users"	rdfs:subClassOf	"users"
15	"concurrently make"	rdfs:subClassOf	"make"
15	"want as user"	local:as_user	"want"
15	"want as user"	local:want_as	"user"
15	"changes to database"	local:to_database	"changes"
15	"changes to database"	local:changes_to	"database"
15	"database with multiple users"	local:with_multipleusers	"database"
15	"database with multiple users"	local:database_with	"multiple users"
15	"want"	local:AM-ADV	"a user,"
15	"want"	vn.role:Agent	"I"
15	"make"	vn.role:Agent	"user, I want to concurrently"
15	"make"	vn.role:Material	"changes"
15	"make"	vn.role:Product	"a database with multiple users."
16	"data types"	rdfs:subClassOf	"types"
16	"blob data types"	rdfs:subClassOf	"data types"
16	"Floating point"	rdfs:subClassOf	"point"
16	"data types"	rdfs:subClassOf	"types"
16	"following data types"	rdfs:subClassOf	"data types"
16	"want as user"	local:as_user	"want"
16	"want as user"	local:want_as	"user"
16	"Integer Boolean"	local:_Boolean	"Integer"
16	"Integer Boolean"	local:Integer_	"Boolean"
16	"want as user as user"	local:as_user	"want as user"
16	"want as user as user"	local:wantasuser_as	"user"
16	"want"	local:AM-ADV	"a user,"
16	"want"	vn.role:Agent	"I"
16	"want"	vn.role:Theme	"support the following data types: Integer, Floating point, Decimal, String, Binary, DateTime, Boolean '' to support blob data types."
16	"support"	vn.role:Theme	"I"
16	"support"	vn.role:Experiencer	"following data types: Integer, Floating point, Decimal, String, Binary, DateTime, Boolean '' `` As a user, I want to support blob blob data data types. types."
17	"event triggers"	rdfs:subClassOf	"triggers"
17	"time intervals"	rdfs:subClassOf	"intervals"
17	"stored procedures"	rdfs:subClassOf	"procedures"
17	"database software"	rdfs:subClassOf	"software"
17	"want as user"	local:as_user	"want"
17	"want as user"	local:want_as	"user"
17	"want as user to database software"	local:to_databasesoftware	"want as user"
17	"want as user to database software"	local:wantasuser_to	"database software"
17	"stored procedures based_on time intervals"	local:based_on_timeintervals	"stored procedures"
17	"stored procedures based_on time intervals"	local:storedprocedures_based_on	"time intervals"
17	"stored procedures based_on time intervals based_on data"	local:based_on_data	"stored procedures based_on time intervals"
17	"stored procedures based_on time intervals based_on data"	local:storedproceduresbased_ontimeintervals_based_on	"data"
17	"stored procedures based_on time intervals based_on data based_on event triggers"	local:based_on_eventtriggers	"stored procedures based_on time intervals based_on data"
17	"stored procedures based_on time intervals based_on data based_on event triggers"	local:storedproceduresbased_ontimeintervalsbased_ondata_based_on	"event triggers"
17	"want"	local:AM-ADV	"a user,"
17	"want"	local:AM-PNC	"execute stored procedures based on time intervals or data or event triggers."
17	"want"	vn.role:Agent	"I"
17	"want"	vn.role:Theme	"the database software"
17	"execute"	local:AM-TMP	"time intervals or data or event triggers."
17	"execute"	vn.role:Agent	"database software"
17	"execute"	vn.role:Patient	"stored procedures"
17	"based"	vn.role:Cause	"stored procedures"
18	"new row"	rdfs:subClassOf	"row"
18	"unique value"	rdfs:subClassOf	"value"
18	"automatically generates"	rdfs:subClassOf	"generates"
18	"autoid type"	rdfs:subClassOf	"type"
18	"want as user"	local:as_user	"want"
18	"want as user"	local:want_as	"user"
18	"unique value for new row"	local:for_newrow	"unique value"
18	"unique value for new row"	local:uniquevalue_for	"new row"
18	"want"	local:AM-ADV	"a user,"
18	"want"	vn.role:Agent	"I"
18	"want"	vn.role:Theme	"use an autoid type that automatically generates a unique value for each new row."
18	"use"	local:AM-MNR	"a user,"
18	"use"	vn.role:Agent	"I"
18	"use"	vn.role:Theme	"autoid type that automatically generates a unique value for each new row."
18	"generates"	local:AM-MNR	"automatically"
18	"generates"	vn.role:Theme1	"autoid type"
18	"generates"	vn.role:Theme2	"unique value for each new row."
19	"foreign type"	rdfs:subClassOf	"type"
19	"secondary foreign type"	rdfs:subClassOf	"foreign type"
19	"primary secondary foreign type"	rdfs:subClassOf	"secondary foreign type"
19	"row combinations"	rdfs:subClassOf	"combinations"
19	"row row combinations"	rdfs:subClassOf	"row combinations"
